Gene	Group	BS_P1	BS_3B	BS_4B	BS_5B	BS_6B	M_P1	M_3PM	M_4PM	M_5PM	M_1M	M_2M
Zm00001d022666	M1	1.273145023	-0.666865223	0.309896454	-0.984915451	-0.957747496	2.131450757	-0.495902067	-0.408760598	-0.806748633	0.020204976	0.586242259
Zm00001d027570	M6	0.615746319	0.233753002	-0.858404778	-1.267767903	-1.101450339	0.906614669	2.17780465	0.237752413	-0.18347248	-0.200399281	-0.56017627
Zm00001d027571	M6	-1.412965024	2.411909986	0.349786185	-0.587312044	0.596884269	-0.362386235	0.672244063	-0.459138271	-0.170583708	-0.506127717	-0.532311503
Zm00001d027572	M14	1.178766885	1.670067887	-0.306809606	-0.629655428	0.057583978	1.10524894	0.547088029	-0.431153348	-1.364547044	-1.126003226	-0.700587066
Zm00001d027573	M14	-1.292501388	-1.369555499	1.070697171	1.339994897	0.202131898	-0.90091965	-1.164031229	0.236756535	0.410099404	0.775712806	0.691615054
Zm00001d027576	M2	0.579759569	0.638235466	1.270424592	1.136909396	0.971513232	0.214824135	-0.819295953	-0.515015606	-1.437245411	-0.648019218	-1.392090202
Zm00001d027580	M6	-0.212352966	0.548710828	1.668743785	1.363730675	0.942526927	-0.803739014	-1.3898552	-0.650205937	-0.085487016	-0.409818002	-0.97225408
Zm00001d027581	M6	1.928934377	-1.654580397	-0.874764726	-0.891189185	-0.719669168	0.756014797	0.107756825	0.443464943	-0.065344919	0.160440877	0.808936576
Zm00001d027585	M1	2.109925134	0.07950799	-0.952198973	-0.767429196	-0.729800657	1.350706121	0.811830068	-0.732863453	-0.512864504	-0.413140213	-0.243672316
Zm00001d027588	M6	0.062943009	-0.696639122	-0.619132019	-1.413399416	-1.321557117	1.836911573	0.369555319	0.433481011	1.267310131	-0.153590036	0.234116667
Zm00001d027589	M6	1.786509286	-0.535167056	-0.868046484	-0.737082752	-0.924860543	1.297635286	1.304716255	-0.01183817	-0.92786059	-0.348336906	-0.035668326
Zm00001d027593	M1	0.898962214	-0.997502082	-0.813193955	-0.776709468	-0.955978223	1.601123419	-0.00369056	1.755033156	-0.576197684	-0.196218075	0.064371257
Zm00001d027595	M6	1.499968879	-1.29334293	-0.561832833	-1.019682441	-1.240283698	0.9522133	-0.709369514	0.87740029	0.082865113	0.711950274	0.70011356
Zm00001d027599	M8	-0.832694921	0.334211058	-0.825477414	-0.766285567	-0.290544288	-0.476415966	1.706679305	-0.612035366	-0.695065337	1.87088168	0.586746816
Zm00001d027607	M1	1.867926702	-0.106649117	-0.436949567	-0.860184019	-0.592007858	2.100640904	-0.408847904	-0.372203226	-0.376443493	-0.521053192	-0.29422923
Zm00001d027612	M6	-0.88375804	0.862098607	1.282096674	1.280678444	0.882673249	-1.364753591	-1.428161373	-0.222039912	0.212956109	0.022703245	-0.644493411
Zm00001d027613	M6	-0.849646078	-1.752939629	-0.886402775	-0.142113069	-0.350741736	1.788275706	-0.094198623	0.83526306	-0.176813639	0.896239696	0.733077086
Zm00001d027618	M12	1.105946421	-0.813053441	-0.173172376	-0.288973508	-1.137457842	0.015686532	-1.970513445	0.856728184	0.885664388	1.036219542	0.482925545
Zm00001d027619	M6	0.547352837	-1.103757925	-1.029325665	-1.001616753	-0.905777199	1.556406966	1.010474619	1.262503788	-0.681301771	0.034920884	0.31012022
Zm00001d027624	M13	1.699599308	0.6902076	0.345294536	0.373902026	0.353804883	1.108759054	-0.178295076	-1.112121105	-1.421107471	-0.888852903	-0.971190851
Zm00001d027625	M6	-1.24310258	1.026117832	1.197595321	1.255293812	1.360213306	-0.733544279	-1.087048881	-0.461677186	-0.471298233	-0.547024302	-0.29552481
Zm00001d027626	M6	-0.88137649	1.505387005	1.396289077	1.13586726	0.217222211	-1.4915619	-0.732935279	-0.216106213	0.111985131	-0.133145288	-0.911625515
Zm00001d027630	M1	1.643675421	-0.819614142	-0.984428814	-1.103973956	-0.947966342	1.795563152	0.534462462	-0.060022316	-0.148750345	0.061227788	0.029827092
Zm00001d027646	M2	-0.747040206	1.143445531	-0.032152963	0.210607622	0.698213612	2.239345137	-0.892667212	-0.656087582	-0.825683645	-0.692169385	-0.445810909
Zm00001d027648	M1	2.369150026	-0.703757743	0.472900573	0.375728447	-0.551582265	-0.821321047	-1.430650866	-0.390914457	0.061503659	0.586356985	0.03258669
Zm00001d027652	M12	-0.835120354	-0.840426755	-0.978502792	-0.943528514	-0.871675986	-0.613851444	1.453773823	0.900266976	0.62150066	0.852791367	1.254773019
Zm00001d027655	M1	2.015851785	-0.396487266	-1.462236472	-0.764281936	-1.108589199	0.608580708	0.938680801	-0.59324136	0.30636925	0.343745781	0.111607908
