Gene	Group	BS_P1	BS_3B	BS_4B	BS_5B	BS_6B	M_P1	M_3PM	M_4PM	M_5PM	M_1M	M_2M
Zm00001d040831	M6	17.23216139	25.06075831	21.17700856	21.07756816	21.80522322	13.71162631	14.85571591	12.55069856	13.60095504	14.84127611	13.63845107
Zm00001d040842	M1	11.73204838	4.541017326	13.59783485	8.425746751	5.352064971	14.14478135	5.331033265	6.964880781	3.22141411	19.57153083	19.65310334
Zm00001d040846	M6	8.930390615	20.68241778	20.86989618	18.96460032	19.64770538	6.57195542	7.099550839	9.714899106	10.12583264	10.05332746	8.456893497
Zm00001d040848	M1	5.555823145	2.714101292	1.202740125	1.64142986	2.554554632	0	2.183046579	1.24554461	2.965428393	1.545780833	1.421117615
Zm00001d040850	M1	7.719641221	18.26944771	15.40195667	17.48276142	17.27480498	8.900422387	13.24497725	12.56830002	14.80292192	13.83494167	12.08645769
Zm00001d040855	M11	4.370558036	4.433807624	4.511949812	4.10411333	4.256729659	4.728602352	3.695127379	4.66941729	4.288860986	4.0508284	5.580781612
Zm00001d040857	M2	5.256623303	4.900667049	6.584188833	5.673795277	6.529671262	6.049335719	6.583459495	6.715353846	6.450814358	6.286194176	6.930985974
Zm00001d040864	M6	4.565803451	6.372646609	6.461226136	6.170643586	6.709378013	5.277770167	6.315281576	5.591229377	5.214386138	4.648166398	4.252416025
Zm00001d040873	M6	8.505077037	11.22959465	11.34869749	10.82844157	11.73456622	7.497948875	7.002069753	8.857171256	7.115944802	6.419753128	8.877883299
Zm00001d040874	M14	3.160345181	3.858294991	5.579978206	5.460354261	5.875013536	1.184437987	3.780528649	4.871957699	2.920922257	4.683899165	8.662165224
Zm00001d040879	M1	3.770349855	0.948723502	1.726988316	0.985564541	0.692902223	5.737845842	1.759945304	1.412007897	0.865433236	2.190235392	3.239009807
Zm00001d040880	M1	18.7665175	5.240751122	6.488784726	6.429778529	5.63063496	32.00462339	14.3942615	9.450766268	6.705976811	9.318814337	10.65294079
Zm00001d040883	M2	7.946379167	7.809814902	8.500515424	9.04021924	8.631504647	7.544209626	8.806917413	9.225437589	9.415821149	8.329273436	7.860107767
Zm00001d040888	M6	11.47248056	15.46258783	16.10725551	14.40613489	15.00218264	12.40307422	13.94250235	12.46791452	13.28368143	12.95232482	11.90166773
Zm00001d040901	M6	23.54955978	25.07067677	20.92050504	23.52138605	24.61121434	19.34772644	21.2995657	21.40907787	22.50929244	19.93406357	19.64622156
Zm00001d040933	M5	6.558401321	11.61187794	9.547196853	10.46533878	8.943535954	7.131157345	4.708081985	3.768507125	5.288014636	6.917250106	3.848527798
Zm00001d040934	M6	11.56835292	25.61178715	18.17467682	23.98663981	21.29236553	9.665862225	9.954311978	10.15708936	14.86780093	11.27647045	12.36295849
Zm00001d040936	M14	3.425164814	3.715677307	5.632825337	4.445625617	4.817833793	2.710167561	2.072714865	4.332084063	5.487782836	3.458629763	4.494754801
Zm00001d040941	M2	11.74312289	13.6804882	14.02429287	12.82656788	12.88922986	14.8003174	18.34023841	15.81986381	17.44452792	14.00273356	15.52552856
Zm00001d040942	M1	57.62409145	0	0	25.03529071	0	0	0	0	0	0	0
